iter	Passed	Remaining
0	139	27836
1	143	14184
2	147	9664
3	150	7380
4	154	6012
5	158	5114
6	162	4486
7	167	4018
8	171	3642
9	175	3342
10	180	3094
11	184	2891
12	189	2721
13	194	2580
14	199	2462
15	204	2354
16	210	2261
17	215	2182
18	222	2116
19	228	2052
20	233	1992
21	240	1942
22	245	1890
23	251	1844
24	257	1801
25	262	1758
26	267	1716
27	275	1690
28	282	1665
29	289	1643
30	297	1619
31	302	1588
32	308	1560
33	314	1534
34	320	1509
35	327	1491
36	334	1472
37	341	1454
38	346	1432
39	352	1411
40	359	1392
41	365	1375
42	371	1356
43	377	1337
44	383	1322
45	390	1308
46	396	1291
47	403	1276
48	409	1263
49	415	1247
50	422	1235
51	429	1223
52	435	1209
53	442	1197
54	449	1185
55	455	1172
56	462	1159
57	467	1144
58	473	1130
59	478	1116
60	483	1102
61	490	1091
62	496	1080
63	502	1067
64	507	1054
65	513	1043
66	520	1033
67	526	1021
68	531	1010
69	538	999
70	544	988
71	549	977
72	556	967
73	561	956
74	567	946
75	574	937
76	580	927
77	585	916
78	592	907
79	597	896
80	604	887
81	610	878
82	617	869
83	623	861
84	629	851
85	635	842
86	642	834
87	648	824
88	654	816
89	660	806
90	666	797
91	672	789
92	677	779
93	684	771
94	690	762
95	696	754
96	702	745
97	708	736
98	714	728
99	719	719
100	725	711
101	733	704
102	739	695
103	745	688
104	751	680
105	757	671
106	762	663
107	768	654
108	773	646
109	781	639
110	787	631
111	794	623
112	800	615
113	806	608
114	812	600
115	817	592
116	823	584
117	828	575
118	834	568
119	842	561
120	849	554
121	855	546
122	861	539
123	867	531
124	874	524
125	882	518
126	889	511
127	896	504
128	902	496
129	910	490
130	919	484
131	926	477
132	932	469
133	938	462
134	944	454
135	950	447
136	956	439
137	962	432
138	968	424
139	973	417
140	979	409
141	985	402
142	991	395
143	997	387
144	1003	380
145	1008	373
146	1014	365
147	1020	358
148	1026	351
149	1031	343
150	1037	336
151	1043	329
152	1049	322
153	1056	315
154	1063	308
155	1069	301
156	1075	294
157	1081	287
158	1087	280
159	1093	273
160	1099	266
161	1106	259
162	1114	252
163	1121	246
164	1128	239
165	1134	232
166	1140	225
167	1147	218
168	1153	211
169	1159	204
170	1166	197
171	1174	191
172	1180	184
173	1186	177
174	1193	170
175	1199	163
176	1205	156
177	1212	149
178	1219	143
179	1225	136
180	1232	129
181	1238	122
182	1245	115
183	1251	108
184	1258	102
185	1265	95
186	1273	88
187	1282	81
188	1289	75
189	1295	68
190	1302	61
191	1308	54
192	1315	47
193	1321	40
194	1328	34
195	1334	27
196	1341	20
197	1348	13
198	1355	6
199	1361	0
